SoldAs,IdentifiedAs,CommonName,Mislabelled,PurchaseLocation,City,Year,ExpectedGen,ExpectedMoreGen,RealGen,RealMoreGen,isMislabelled
Yellowtail,Rhomboplitesaurorubens,Vermillion Snapper,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Vermillion Snapper,Snapper,1
Sea Bass,Dicentrarchus labrax,Sea Bass,No,Restaurant,montreal,2019,Sea Bass,Bass,Sea Bass,Bass,0
Snapper,Rachycentron canadum,Cobia,Yes,Restaurant,montreal,2019,Snapper,Snapper,Cobia,Cobia,1
Loup de mer,Dicentrarchus labrax,Sea Bass,Yes,Restaurant,montreal,2019,Loup de mer,Loup de mer,Sea Bass,Bass,1
"Cod, Wild Atlantic",Gadus morhua,Atlantic Cod,No,Grocerystore,montreal,2019,"Cod, Wild Atlantic",Cod,Atlantic Cod,Cod,0
"Cod, Pacific",Gadus macrocephalus,"Pacific Cod, Grey Cod,Cod",No,Grocerystore,montreal,2019,"Cod, Pacific",Cod,"Pacific Cod, Grey Cod,Cod",Cod,0
Snapper/Vivaneau rouge,"Pristipomoides
filamentosus",Not on the CFIA Fish List,Yes,Grocerystore,montreal,2019,Snapper,Snapper,Not on the CFIA Fish List,List,1
"Salmon, Fresh Sockeye",Oncorhynchus nerka,Sockeye Salmon,No,Grocerystore,montreal,2019,"Salmon, Fresh Sockeye",Salmon,Sockeye Salmon,Salmon,0
"Cod, Fresh Pacific",Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,"Cod, Fresh Pacific",Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
"Salmon, Chinook Pacific","Oncorhynchus
tshawytscha",Chinook Salmon,No,Grocerystore,montreal,2019,"Salmon, Chinook Pacific",Salmon,Chinook Salmon,Salmon,0
Dover Sole,"Hippoglossoides
elassodon","Flounder, Sole, Flathead
Sole",Yes,Grocerystore,montreal,2019,Dover Sole,Sole,"Flounder, Sole, Flathead
Sole",Sole,1
"Lavraki, Mediterranean",Dicentrarchus labrax,Sea Bass,Yes,Restaurant,montreal,2019,"Lavraki, Mediterranean",Lavraki,Sea Bass,Bass,1
Lithrinin,Pagellus erythrinus,Not on the CFIA Fish List,Yes,Restaurant,montreal,2019,Lithrinin,Lithrinin,Not on the CFIA Fish List,List,1
"Sole, Wild, Fresh","Hippoglossoides
elassodon",Sole,No,Grocerystore,montreal,2019,"Sole, Wild, Fresh",Sole,Sole,Sole,0
"Cod, Wild, Fresh Atlantic",Gadus morhua,Atlantic Cod,No,Grocerystore,montreal,2019,"Cod, Wild, Fresh Atlantic",Cod,Atlantic Cod,Cod,0
"Seabass, European",Dicentrarchus labrax,Sea Bass,No,Restaurant,montreal,2019,"Seabass, European",Bass,Sea Bass,Bass,0
"Snapper, red (Tai/vivaneau)",Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,"Snapper, red ",Snapper,Nile Tilapia,Tilapia,1
Cod/Morue,Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,Cod,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
Striped bass,Dicentrarchus labrax,Sea Bass,Yes,Restaurant,montreal,2019,Striped bass,Bass,Sea Bass,Bass,1
Crevettes Matane,Pandalus borealis,"Crevette Boréale, Crevette, Crevette
Rose, Crevette D'eau
Froide, Crevette
Nordique, Crevette
Nordique Du Canada",Yes,Grocerystore,montreal,2019,Crevettes Matane,Matane,"Crevette Boréale, Crevette, Crevette
Rose, Crevette D'eau
Froide, Crevette
Nordique, Crevette
Nordique Du Canada",Crevette,1
"Halibut, Atlantic","Hippoglossus
hippoglossus",Atlantic Halibut,No,Grocerystore,montreal,2019,"Halibut, Atlantic",Halibut,Atlantic Halibut,Halibut,0
Tuna: Darne de thon yellowfin,Thunnus albacares,"Thon, Albacore",Yes,Grocerystore,montreal,2019,Tuna: Darne de thon yellowfin,Tuna,"Thon, Albacore",tuna ,1
"Yellowtail Tuna, Hamachi",Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,"Yellowtail Tuna, Hamachi",Tuna,Japanese Amberjack,Amberjack,1
"Halibut, Fletan","Hippoglossus
hippoglossus",Flétan,No,Restaurant,montreal,2019,"Halibut, Fletan",Halibut,Flétan,Flétan,0
White Tuna (Albacore),Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White Tuna ,Tuna,Albacore Tuna,tuna ,1
White Tuna (Albacore),Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White Tuna ,Tuna,Albacore Tuna,tuna ,1
"Yellow Tail Tuna, Hamachi",Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,"Yellow Tail Tuna, Hamachi",Tuna,Japanese Amberjack,Amberjack,1
Butterfish,"Lepidocybium
flavobrunneum","Snake Mackerel, Escolar",Yes,Restaurant,montreal,2019,Butterfish,Butterfish,"Snake Mackerel, Escolar",Escolar,1
Halibut,"Hippoglossus
hippoglossus",Halibut,No,Restaurant,montreal,2019,Halibut,Halibut,Halibut,Halibut,0
Butterfish,"Lepidocybium
flavobrunneum","Snake Mackerel, Escolar",Yes,Restaurant,montreal,2019,Butterfish,Butterfish,"Snake Mackerel, Escolar",Escolar,1
"Halibut, Atlantic","Hippoglossus
hippoglossus",Atlantic Halibut,No,Restaurant,montreal,2019,"Halibut, Atlantic",Halibut,Atlantic Halibut,Halibut,0
Cod,Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Restaurant,montreal,2019,Cod,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
Atlantic Cod,Gadus macrocephalus,Pacific Cod,Yes,Grocerystore,montreal,2019,Atlantic Cod,Cod,Pacific Cod,Cod,1
Crevette nordique,Pandalus borealis,Crevette Nordique,No,Restaurant,montreal,2019,Crevette nordique,nordique,Crevette Nordique,Nordique,0
Doré,Sander vitreus,Doré Jaune,Yes,Restaurant,montreal,2019,Doré,Doré,Doré Jaune,Jaune,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Cod, Pacific",Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,"Cod, Pacific",Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
"Cod, Fresh Icelandic",Gadus morhua,Cod,No,Grocerystore,montreal,2019,"Cod, Fresh Icelandic",Cod,Cod,Cod,0
Yellowtail,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
"Snapper, red (Tai)",Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,"Snapper, red ",Snapper,Nile Tilapia,Tilapia,1
White tuna/Thon blanc,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Atlantic Cod, Morue fraiche
atlantique",Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",Yes,Grocerystore,montreal,2019,"Atlantic Cod, Morue fraiche
atlantique",Cod,"Pacific Cod, Grey Cod,
Cod",Cod,1
"Salmon, Pacific",Salmo Salar,Atlantic Salmon,Yes,Grocerystore,montreal,2019,"Salmon, Pacific",Salmon,Atlantic Salmon,Salmon,1
White tuna (labelled Albacore),Thunnus alalunga,Albacore Tuna,No,Restaurant,montreal,2019,White tuna ,Tuna,Albacore Tuna,tuna ,0
Cod,Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Restaurant,montreal,2019,Cod,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
Loup de mer,Dicentrarchus labrax,Sea Bass,Yes,Restaurant,montreal,2019,Loup de mer,Loup de mer,Sea Bass,Bass,1
Halibut,"Hippoglossus
hippoglossus",Halibut,No,Restaurant,montreal,2019,Halibut,Halibut,Halibut,Halibut,0
Yellowtail,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Snapper, Red",Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,"Snapper, Red",Snapper,Nile Tilapia,Tilapia,1
Yellowtail,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
"Halibut, Atlantic","Hippoglossus
hippoglossus",Atlantic Halibut,No,Restaurant,montreal,2019,"Halibut, Atlantic",Halibut,Atlantic Halibut,Halibut,0
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
Dover Sole,Solea solea,Not on the CFIA Fish List,Yes,Restaurant,montreal,2019,Dover Sole,Sole,Not on the CFIA Fish List,List,1
"Cod, Atlantic",Gadus morhua,"Atlantic Cod
Japanese Seabream,",No,Restaurant,montreal,2019,"Cod, Atlantic",Cod,"Atlantic Cod
Japanese Seabream,",Atlantic cod ,0
"Sea Bass, Wild",Pagrus major,"Silver
Seabream, Genuine
Porgy",Yes,Restaurant,montreal,2019,"Sea Bass, Wild",Bass,"Silver
Seabream, Genuine
Porgy",Porgy,1
Cod (salted),Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,Cod ,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
Halibut,"Hippoglossus
hippoglossus",Halibut,No,Restaurant,montreal,2019,Halibut,Halibut,Halibut,Halibut,0
"Sole, Atlantic",Limanda ferruginea,"Sole, Dab, Yellowtail,
Flounder, Yellowtail
Flounder, Rusty Dab",No,Grocerystore,montreal,2019,"Sole, Atlantic",Sole,"Sole, Dab, Yellowtail,
Flounder, Yellowtail
Flounder, Rusty Dab",Dab,0
Cod,Gadus morhua,"Atlantic Cod, Cod",No,Grocerystore,montreal,2019,Cod,Cod,"Atlantic Cod, Cod",Cod,0
Halibut,"Hippoglossus
hippoglossus",Halibut,No,Grocerystore,montreal,2019,Halibut,Halibut,Halibut,Halibut,0
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Snapper, Red",Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,"Snapper, Red",Snapper,Nile Tilapia,Tilapia,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
"Snapper, Red",Oreochromis aureus,Tilapia,Yes,Restaurant,montreal,2019,"Snapper, Red",Snapper,Tilapia,Tilapia,1
"Halibut, Atlantic","Hippoglossus
hippoglossus",Atlantic Halibut,No,Grocerystore,montreal,2019,"Halibut, Atlantic",Halibut,Atlantic Halibut,Halibut,0
Yellowtail,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
Yellowtail (Hachimi),Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail ,Yellowtail,Japanese Amberjack,Amberjack,1
"Salmon, Pacific Sockeye",Oncorhynchus nerka,"Sockeye Salmon
Japanese Seabream,",No,Restaurant,montreal,2019,"Salmon, Pacific Sockeye",Salmon,"Sockeye Salmon
Japanese Seabream,",Salmon,0
"Snapper, Japanese Tai",Pagrus major,"Silver
Seabream, Genuine
Porgy",Yes,Restaurant,montreal,2019,"Snapper, Japanese Tai",Snapper,"Silver
Seabream, Genuine
Porgy",Porgy,1
White tuna,"Lepidocybium
flavobrunneum","Snake Mackerel, Escolar",Yes,Restaurant,montreal,2019,White tuna,Tuna,"Snake Mackerel, Escolar",Escolar,1
Snapper,Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,Snapper,Snapper,Nile Tilapia,Tilapia,1
"Halibut, wild","Hippoglossus
hippoglossus",Halibut,No,Grocerystore,montreal,2019,"Halibut, wild",Halibut,Halibut,Halibut,0
Dover sole,"Hippoglossoides
elassodon","Flounder, Sole, Flathead
Sole",Yes,Grocerystore,montreal,2019,Dover sole,Sole,"Flounder, Sole, Flathead
Sole",Sole,1
Cod,Gadus macrocephalus,"Pacific Cod, Grey Cod,
Cod",No,Grocerystore,montreal,2019,Cod,Cod,"Pacific Cod, Grey Cod,
Cod",Cod,0
"Salmon, Wild Pacific",Oncorhynchus gorbuscha,Pink Salmon,Yes,Grocerystore,montreal,2019,"Salmon, Wild Pacific",Salmon,Pink Salmon,Salmon,1
"Cod, Wild Atlantic",Gadus morhua,"Atlantic Cod, Cod",No,Grocerystore,montreal,2019,"Cod, Wild Atlantic",Cod,"Atlantic Cod, Cod",Cod,0
Pickerel/Dore,Sander vitreus,Doré Jaune,Yes,Grocerystore,montreal,2019,Pickerel,Pickerel,Doré Jaune,Jaune,1
"Salmon, Ora king",Salmo salar,Atlantic Salmon,Yes,Restaurant,montreal,2019,"Salmon, Ora king",Salmon,Atlantic Salmon,Salmon,1
Sea bass,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,Sea bass,Bass,Albacore Tuna,tuna ,1
Yellowtail/Thon queue jaune,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
White tuna,Thunnus alalunga,Albacore Tuna,Yes,Restaurant,montreal,2019,White tuna,Tuna,Albacore Tuna,tuna ,1
Snapper,Oreochromis niloticus,Nile Tilapia,Yes,Restaurant,montreal,2019,Snapper,Snapper,Nile Tilapia,Tilapia,1
Cod,Gadus morhua,"Atlantic Cod, Cod",No,Restaurant,montreal,2019,Cod,Cod,"Atlantic Cod, Cod",Cod,0
"Sea Bass, Mediterranean",Dicentrarchus labrax,Sea Bass,No,Restaurant,montreal,2019,"Sea Bass, Mediterranean",Bass,Sea Bass,Bass,0
Yellowtail,Seriola quinqueradiata,Japanese Amberjack,Yes,Restaurant,montreal,2019,Yellowtail,Yellowtail,Japanese Amberjack,Amberjack,1
Black Cod,Anoplopoma fimbria,"Black cod, Sablefish",No,Restaurant,halifax,2018,Black Cod,Cod,"Black cod, Sablefish",Sablefish,0
Boston Blue Cod,Pollachius virens,"Pollock (Pollock, Coalfish,
Saithe, Big-eye, Boston
Bluefish)",Yes,Grocerystore,halifax,2018,Boston Blue Cod,Cod,Pollock,Pollock,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,halifax,2018,Butterfish,Butterfish,Escolar,Escolar,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,halifax,2018,Butterfish,Butterfish,Escolar,Escolar,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,halifax,2018,Butterfish,Butterfish,Escolar,Escolar,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,halifax,2018,Butterfish,Butterfish,Escolar,Escolar,1
Butterfish,"Lepidocybium
flavobrunneum","Escolar (Escolar, Snake
Mackerel)",Yes,Restaurant,halifax,2018,Butterfish,Butterfish,Escolar,Escolar,1
"Char, Arctic",Salvelinus alpinus,"Char (Char, Arctic char)",No,Restaurant,halifax,2018,"Char, Arctic",Char,Char,Char,0
Cod,"Melanogrammus
aeglefinus",Haddock,Yes,Grocerystore,halifax,2018,Cod,Cod,Haddock,Haddock,1
Cod,Gadus morhua,"Atlantic cod (Atlantic cod,
cod)",No,Grocerystore,halifax,2018,Cod,Cod,Atlantic cod,Cod,0
Cod,Gadus morhua,"Atlantic cod (Atlantic cod,
cod)",No,Grocerystore,halifax,2018,Cod,Cod,Atlantic cod,Cod,0
"Cod, Atlantic",Gadus macrocephalus,"Pacific Cod (Cod, Pacific
Cod)",Yes,Grocerystore,halifax,2018,"Cod, Atlantic",Cod,Pacific Cod,Cod,1
"Cod, Atlantic","Melanogrammus
aeglefinus",Haddock,Yes,Restaurant,halifax,2018,"Cod, Atlantic",Cod,Haddock,Haddock,1
"Cod, Atlantic",Gadus macrocephalus,"Pacific Cod (Cod, Pacific
Cod)",Yes,Restaurant,halifax,2018,"Cod, Atlantic",Cod,Pacific Cod,Cod,1
"Cod, Atlantic",Gadus macrocephalus,"Pacific Cod (Cod, Pacific
Cod)",Yes,Restaurant,halifax,2018,"Cod, Atlantic",Cod,Pacific Cod,Cod,1
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
cod)",No,Restaurant,halifax,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
cod)",No,Restaurant,halifax,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
cod)",No,Grocerystore,halifax,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
cod)",No,Grocerystore,halifax,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
cod)",No,Restaurant,halifax,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Atlantic",Gadus morhua,"Atlantic cod (Atlantic cod,
cod)",No,Restaurant,halifax,2018,"Cod, Atlantic",Cod,Atlantic cod,Cod,0
"Cod, Pacific",Gadus macrocephalus,"Pacific cod (Cod, Pacific
cod)",No,Grocerystore,halifax,2018,"Cod, Pacific",Cod,Pacific cod,Cod,0
"Cod, Pacific",Gadus macrocephalus,"Pacific cod (Cod, Pacific
cod)",No,Grocerystore,halifax,2018,"Cod, Pacific",Cod,Pacific cod,Cod,0
"Crab, Snow",Homarus americanus,"American lobster (Lobster,
American lobster)",Yes,Restaurant,halifax,2018,"Crab, Snow",Crab,American lobster,lobster,1
Cuttlefish,Sepia sp.,Cuttlefish,No,Restaurant,halifax,2018,Cuttlefish,Cuttlefish,Cuttlefish,Cuttlefish,0
Eel,Anguilla rostrata,"Eel (Eel, American eel)",No,Restaurant,halifax,2018,Eel,Eel,Eel,Eel,0
"Eel, Fresh Water",Anguilla rostrata,"Eel (Eel, American eel)",No,Restaurant,halifax,2018,"Eel, Fresh Water",Eel,Eel,Eel,0
Haddock,"Melanogrammus
aeglefinus",Haddock,No,Restaurant,halifax,2018,Haddock,Haddock,Haddock,Haddock,0
Hake,Urophycis tenuis,White hake (White hake),"Yes – not in Hake genus
(Merluccius )",Grocerystore,halifax,2018,Hake,Hake,White hake,hake,0
Hake,Urophycis tenuis,White hake (White hake),"Yes – not in Hake genus
(Merluccius )",Grocerystore,halifax,2018,Hake,Hake,White hake,hake,0
Hake,Merluccius bilinearis,"Hake (Hake, Silver hake,
Whiting, Southwest Atlantic
hake, Atlantic whiting)",No,Restaurant,halifax,2018,Hake,Hake,Hake,Hake,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Grocerystore,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Grocerystore,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
"Halibut, Atlantic","Hippoglossus
hippoglossus","Atlantic halibut (Halibut,
Atlantic halibut)",No,Restaurant,halifax,2018,"Halibut, Atlantic",Halibut,Atlantic halibut,Halibut,0
Lobster,Homarus americanus,"American lobster (Lobster,
American lobster)",No,Restaurant,halifax,2018,Lobster,Lobster,American lobster,lobster,0
Lobster,Homarus americanus,"American lobster (Lobster,
American lobster)",No,Restaurant,halifax,2018,Lobster,Lobster,American lobster,lobster,0
"Lobster, Atlantic",Homarus americanus,"American lobster (Lobster,
American lobster)",No,Restaurant,halifax,2018,"Lobster, Atlantic",Lobster,American lobster,lobster,0
"Lobster, Nova Scotia",Homarus americanus,"American lobster (Lobster,
American lobster)",No,Restaurant,halifax,2018,"Lobster, Nova Scotia",Lobster,American lobster,lobster,0
"Lobster, Rock",Panulirus argus,"Crayfish (Crayfish; Spiny
Lobster)",Yes,Restaurant,halifax,2018,"Lobster, Rock",Lobster,Crayfish,Crayfish,1
Mackerel,Scomber scombrus,"Mackerel (Mackerel,
Atlantic mackerel)",No,Grocerystore,halifax,2018,Mackerel,Mackerel,Mackerel,Mackerel,0
"Mackerel, Vinegared",Scomber scombrus,"Mackerel (Mackerel,
Atlantic mackerel)",No,Restaurant,halifax,2018,"Mackerel, Vinegared",Mackerel,Mackerel,Mackerel,0
"Perch, Atlantic Ocean",Sebastes mentella,"Ocean perch (Redfish,
Rosefish, Beaked redfish,
Atlantic Ocean perch,
Atlantic rosefish, Ocean
perch, Atlantic ocean perch)",No,Grocerystore,halifax,2018,"Perch, Atlantic Ocean",Perch,Ocean perch,perch,0
"Salmon, Pink","Oncorhynchus
gorbuscha","Pink Salmon (Pink salmon,
Pacific Pink salmon)",No,Grocerystore,halifax,2018,"Salmon, Pink",Salmon,Pink Salmon,Salmon,0
"Salmon, Sockeye",Oncorhynchus nerka,"Sockeye salmon (Sockeye
salmon, Red salmon, Red
sockeye salmon)",No,Grocerystore,halifax,2018,"Salmon, Sockeye",Salmon,Sockeye salmon,Salmon,0
"Salmon, Steelhead",Oncorhynchus mykiss,"Trout (Trout, Rainbow trout,
Steelhead trout, Steelhead,
Deep Sea Trout, Steelhead
salmon)",No,Grocerystore,halifax,2018,"Salmon, Steelhead",Salmon,Trout,Trout,0
Scallop,"Placopecten
magellanicus","Scallop (Scallop, Atlantic
scallop, Giant scallop, Sea
scallop)",No,Restaurant,halifax,2018,Scallop,Scallop,Scallop,Scallop,0
Scallop,"Placopecten
magellanicus","Scallop (Scallop, Atlantic
scallop, Giant scallop, Sea
scallop)",No,Restaurant,halifax,2018,Scallop,Scallop,Scallop,Scallop,0
Scallop,Mizuhopecten yessoensis,"Scallop (Scallop, Japanese
scallop)",No,Restaurant,halifax,2018,Scallop,Scallop,Scallop,Scallop,0
"Scallop, Atlantic Sea","Placopecten
magellanicus","Scallop (Scallop, Atlantic
scallop, Giant scallop, Sea
scallop)",No,Grocerystore,halifax,2018,"Scallop, Atlantic Sea",Scallop,Scallop,Scallop,0
"Scallop, Bay",Argopecten irradians,"Bay scallop (Scallop, Bay
scallop)",No,Grocerystore,halifax,2018,"Scallop, Bay",Scallop,Bay scallop,Scallop,0
"Scallop, Digby","Placopecten
magellanicus","Scallop (Scallop, Atlantic
scallop, Giant scallop, Sea
scallop)",No,Grocerystore,halifax,2018,"Scallop, Digby",Scallop,Scallop,Scallop,0
"Scallop, Digby","Placopecten
magellanicus","Scallop (Scallop, Atlantic
scallop, Giant scallop, Sea
scallop)",No,Restaurant,halifax,2018,"Scallop, Digby",Scallop,Scallop,Scallop,0
"Scallop, Digby","Placopecten
magellanicus","Scallop (Scallop, Atlantic
scallop, Giant scallop, Sea
scallop)",No,Grocerystore,halifax,2018,"Scallop, Digby",Scallop,Scallop,Scallop,0
"Scallop, Digby","Placopecten
magellanicus","Scallop (Scallop, Atlantic
scallop, Giant scallop, Sea
scallop)",No,Restaurant,halifax,2018,"Scallop, Digby",Scallop,Scallop,Scallop,0
"Scallop, Sea","Placopecten
magellanicus","Sea scallop (Scallop, Sea
scallop, Atlantic scallop,
Giant scallop)",No,Restaurant,halifax,2018,"Scallop, Sea",Scallop,Sea scallop,Scallop,0
"Scallop, Sea","Placopecten
magellanicus","Sea scallop (Scallop, Sea
scallop, Atlantic scallop,
Giant scallop)",No,Restaurant,halifax,2018,"Scallop, Sea",Scallop,Sea scallop,Scallop,0
Seabass,"Pangasianodon
(Pangasius)
hypophthalmus","Striped catfish (Sutchi
catfish, Basa, Swai,
Pangasius)",Yes,Restaurant,halifax,2018,Seabass,Bass,Striped catfish,Catfish,1
Seabass,"Pangasianodon
(Pangasius)
hypophthalmus","Striped catfish (Sutchi
catfish, Basa, Swai,
Pangasius)",Yes,Restaurant,halifax,2018,Seabass,Bass,Striped catfish,Catfish,1
"Seabass,
Mediterranean",Dicentrarchus labrax,"European seabass (Sea
bass)",No,Restaurant,halifax,2018,"Seabass,
Mediterranean",Bass,European seabass,seabass,0
Snapper,Orechromis sp.,Tilapia,Yes,Restaurant,halifax,2018,Snapper,Snapper,Tilapia,Tilapia,1
Snapper,Orechromis sp.,Tilapia,Yes,Restaurant,halifax,2018,Snapper,Snapper,Tilapia,Tilapia,1
"Snapper, Red",Orechromis sp.,Tilapia,Yes,Restaurant,halifax,2018,"Snapper, Red",Snapper,Tilapia,Tilapia,1
"Snapper, Red",Orechromis sp.,Tilapia,Yes,Restaurant,halifax,2018,"Snapper, Red",Snapper,Tilapia,Tilapia,1
"Snapper, Red",Orechromis sp.,Tilapia,Yes,Restaurant,halifax,2018,"Snapper, Red",Snapper,Tilapia,Tilapia,1
"Snapper, Red",Orechromis sp.,Tilapia,Yes,Restaurant,halifax,2018,"Snapper, Red",Snapper,Tilapia,Tilapia,1
Sole,"Glyptocephalus
cynoglossus","Sole (Sole, Witch flounder,
Flounder, Witch, Greysole)",No,Grocerystore,halifax,2018,Sole,Sole,Sole,Sole,0
